num_iteration,func_name,start_unix_timestamp,end_unix_timestamp,elapsed_ms
0,mandelbrot_seq,1747912708.430490,1747912708.614904,184.416
1,mandelbrot_seq,1747912708.740233,1747912708.924583,184.350
2,mandelbrot_seq,1747912709.040774,1747912709.222281,181.507
3,mandelbrot_seq,1747912709.341753,1747912709.517772,176.019
4,mandelbrot_seq,1747912709.642038,1747912709.822743,180.706
5,mandelbrot_seq,1747912709.945952,1747912710.130360,184.408
6,mandelbrot_seq,1747912710.261639,1747912710.437942,176.303
7,mandelbrot_seq,1747912710.560432,1747912710.738276,177.844
8,mandelbrot_seq,1747912710.872789,1747912711.055405,182.616
9,mandelbrot_seq,1747912711.165185,1747912711.352385,187.199
10,mandelbrot_seq,1747912711.482863,1747912711.660310,177.448
11,mandelbrot_seq,1747912711.770602,1747912711.946666,176.063
12,mandelbrot_seq,1747912712.051774,1747912712.232285,180.511
13,mandelbrot_seq,1747912712.352762,1747912712.533922,181.160
14,mandelbrot_seq,1747912712.647875,1747912712.827801,179.928
15,mandelbrot_seq,1747912712.950845,1747912713.133974,183.128
16,mandelbrot_seq,1747912713.245146,1747912713.425716,180.571
17,mandelbrot_seq,1747912713.542998,1747912713.723421,180.423
18,mandelbrot_seq,1747912713.828899,1747912714.007970,179.071
19,mandelbrot_seq,1747912714.153200,1747912714.339456,186.257
20,mandelbrot_seq,1747912714.452730,1747912714.630052,177.323
21,mandelbrot_seq,1747912714.751577,1747912714.929519,177.943
22,mandelbrot_seq,1747912715.061913,1747912715.248452,186.540
23,mandelbrot_seq,1747912715.365725,1747912715.545806,180.082
24,mandelbrot_seq,1747912715.665954,1747912715.846031,180.077
25,mandelbrot_seq,1747912715.965589,1747912716.142698,177.109
26,mandelbrot_seq,1747912716.248483,1747912716.436856,188.373
27,mandelbrot_seq,1747912716.569064,1747912716.754480,185.416
28,mandelbrot_seq,1747912716.859286,1747912717.036488,177.202
29,mandelbrot_seq,1747912717.157921,1747912717.339772,181.852
30,mandelbrot_seq,1747912717.463939,1747912717.650489,186.551
31,mandelbrot_seq,1747912717.767299,1747912717.947104,179.805
32,mandelbrot_seq,1747912718.062739,1747912718.239037,176.298
33,mandelbrot_seq,1747912718.365367,1747912718.547158,181.791
34,mandelbrot_seq,1747912718.659809,1747912718.839029,179.221
35,mandelbrot_seq,1747912718.971792,1747912719.161964,190.171
36,mandelbrot_seq,1747912719.296028,1747912719.481089,185.062
37,mandelbrot_seq,1747912719.613873,1747912719.790452,176.579
38,mandelbrot_seq,1747912719.925951,1747912720.101969,176.018
39,mandelbrot_seq,1747912720.236086,1747912720.419378,183.292
40,mandelbrot_seq,1747912720.542710,1747912720.728882,186.173
41,mandelbrot_seq,1747912720.850414,1747912721.035539,185.126
42,mandelbrot_seq,1747912721.165871,1747912721.342236,176.364
43,mandelbrot_seq,1747912721.450931,1747912721.627299,176.368
44,mandelbrot_seq,1747912721.745112,1747912721.924693,179.581
45,mandelbrot_seq,1747912722.033709,1747912722.210831,177.122
46,mandelbrot_seq,1747912722.314516,1747912722.499789,185.274
47,mandelbrot_seq,1747912722.616736,1747912722.793250,176.515
48,mandelbrot_seq,1747912722.905558,1747912723.085216,179.660
49,mandelbrot_seq,1747912723.202333,1747912723.381650,179.317
50,mandelbrot_seq,1747912723.491471,1747912723.675108,183.637
51,mandelbrot_seq,1747912723.797032,1747912723.974256,177.224
52,mandelbrot_seq,1747912724.089052,1747912724.277650,188.598
53,mandelbrot_seq,1747912724.395486,1747912724.573437,177.951
54,mandelbrot_seq,1747912724.681874,1747912724.862088,180.215
55,mandelbrot_seq,1747912724.988749,1747912725.169583,180.834
56,mandelbrot_seq,1747912725.281256,1747912725.469716,188.460
57,mandelbrot_seq,1747912725.575654,1747912725.752696,177.044
58,mandelbrot_seq,1747912725.864318,1747912726.044153,179.835
59,mandelbrot_seq,1747912726.165003,1747912726.341251,176.248
60,mandelbrot_seq,1747912726.449159,1747912726.631243,182.084
61,mandelbrot_seq,1747912726.735264,1747912726.915311,180.048
62,mandelbrot_seq,1747912727.027618,1747912727.205282,177.665
63,mandelbrot_seq,1747912727.314284,1747912727.506072,191.789
