num_iteration,func_name,start_unix_timestamp,end_unix_timestamp,elapsed_ms
0,mandelbrot_seq,1748012673.290336,1748012673.529970,239.634
1,mandelbrot_seq,1748012673.613664,1748012673.858470,244.806
2,mandelbrot_seq,1748012673.912685,1748012674.159149,246.465
3,mandelbrot_seq,1748012674.215636,1748012674.467918,252.283
4,mandelbrot_seq,1748012674.544605,1748012674.789008,244.404
5,mandelbrot_seq,1748012674.862668,1748012675.103564,240.897
6,mandelbrot_seq,1748012675.156644,1748012675.400486,243.843
7,mandelbrot_seq,1748012675.458696,1748012675.706165,247.469
8,mandelbrot_seq,1748012675.756666,1748012676.010891,254.225
9,mandelbrot_seq,1748012676.059692,1748012676.300386,240.695
10,mandelbrot_seq,1748012676.352661,1748012676.593137,240.476
11,mandelbrot_seq,1748012676.668763,1748012676.912066,243.304
12,mandelbrot_seq,1748012676.963660,1748012677.207261,243.602
13,mandelbrot_seq,1748012677.266665,1748012677.508209,241.544
14,mandelbrot_seq,1748012677.567646,1748012677.807918,240.273
15,mandelbrot_seq,1748012677.861580,1748012678.105478,243.898
16,mandelbrot_seq,1748012678.165616,1748012678.409842,244.226
17,mandelbrot_seq,1748012678.456662,1748012678.701155,244.493
18,mandelbrot_seq,1748012678.749644,1748012678.998237,248.594
19,mandelbrot_seq,1748012679.077661,1748012679.317805,240.144
20,mandelbrot_seq,1748012679.366650,1748012679.606585,239.935
21,mandelbrot_seq,1748012679.659686,1748012679.903766,244.080
22,mandelbrot_seq,1748012679.953643,1748012680.207120,253.477
23,mandelbrot_seq,1748012680.269671,1748012680.509749,240.079
24,mandelbrot_seq,1748012680.572647,1748012680.815784,243.138
25,mandelbrot_seq,1748012680.864646,1748012681.110165,245.520
26,mandelbrot_seq,1748012681.173651,1748012681.420786,247.135
27,mandelbrot_seq,1748012681.470657,1748012681.711672,241.016
28,mandelbrot_seq,1748012681.752655,1748012681.992116,239.463
29,mandelbrot_seq,1748012682.044644,1748012682.289230,244.586
30,mandelbrot_seq,1748012682.335656,1748012682.576762,241.106
31,mandelbrot_seq,1748012682.638639,1748012682.885756,247.118
32,mandelbrot_seq,1748012682.935651,1748012683.179903,244.252
33,mandelbrot_seq,1748012683.225664,1748012683.470794,245.132
34,mandelbrot_seq,1748012683.519641,1748012683.765035,245.395
35,mandelbrot_seq,1748012683.827796,1748012684.069054,241.259
36,mandelbrot_seq,1748012684.123653,1748012684.367191,243.539
37,mandelbrot_seq,1748012684.431653,1748012684.681010,249.357
38,mandelbrot_seq,1748012684.736622,1748012684.986044,249.422
39,mandelbrot_seq,1748012685.047614,1748012685.286983,239.370
40,mandelbrot_seq,1748012685.332670,1748012685.574221,241.551
41,mandelbrot_seq,1748012685.650676,1748012685.899288,248.612
42,mandelbrot_seq,1748012685.953678,1748012686.198855,245.177
43,mandelbrot_seq,1748012686.244661,1748012686.485914,241.254
44,mandelbrot_seq,1748012686.548609,1748012686.798692,250.083
45,mandelbrot_seq,1748012686.852642,1748012687.104410,251.768
46,mandelbrot_seq,1748012687.171655,1748012687.413730,242.075
47,mandelbrot_seq,1748012687.491668,1748012687.740833,249.165
48,mandelbrot_seq,1748012687.810631,1748012688.064356,253.726
49,mandelbrot_seq,1748012688.135645,1748012688.375514,239.869
50,mandelbrot_seq,1748012688.436661,1748012688.687169,250.509
51,mandelbrot_seq,1748012688.744636,1748012688.993243,248.607
52,mandelbrot_seq,1748012689.071639,1748012689.312846,241.207
53,mandelbrot_seq,1748012689.354807,1748012689.593024,238.217
54,mandelbrot_seq,1748012689.633655,1748012689.872236,238.581
55,mandelbrot_seq,1748012689.918660,1748012690.168004,249.345
56,mandelbrot_seq,1748012690.209644,1748012690.459336,249.693
57,mandelbrot_seq,1748012690.503644,1748012690.745236,241.593
58,mandelbrot_seq,1748012690.791656,1748012691.036471,244.816
59,mandelbrot_seq,1748012691.088650,1748012691.327816,239.166
60,mandelbrot_seq,1748012691.377633,1748012691.626432,248.801
61,mandelbrot_seq,1748012691.671625,1748012691.911204,239.579
62,mandelbrot_seq,1748012691.962648,1748012692.204032,241.385
63,mandelbrot_seq,1748012692.262639,1748012692.512851,250.213
64,mandelbrot_seq,1748012692.587631,1748012692.831890,244.260
65,mandelbrot_seq,1748012692.903676,1748012693.149246,245.570
66,mandelbrot_seq,1748012693.200631,1748012693.445186,244.556
67,mandelbrot_seq,1748012693.497648,1748012693.750206,252.558
68,mandelbrot_seq,1748012693.800658,1748012694.044033,243.375
69,mandelbrot_seq,1748012694.097660,1748012694.343211,245.551
70,mandelbrot_seq,1748012694.379635,1748012694.622086,242.452
71,mandelbrot_seq,1748012694.674659,1748012694.915786,241.128
72,mandelbrot_seq,1748012694.961647,1748012695.208932,247.286
73,mandelbrot_seq,1748012695.270655,1748012695.519371,248.717
74,mandelbrot_seq,1748012695.575635,1748012695.816105,240.469
75,mandelbrot_seq,1748012695.878638,1748012696.121422,242.785
76,mandelbrot_seq,1748012696.174668,1748012696.425158,250.491
77,mandelbrot_seq,1748012696.483660,1748012696.733726,250.066
78,mandelbrot_seq,1748012696.779623,1748012697.020181,240.558
79,mandelbrot_seq,1748012697.080651,1748012697.331484,250.833
80,mandelbrot_seq,1748012697.382716,1748012697.633235,250.519
81,mandelbrot_seq,1748012697.672645,1748012697.915383,242.739
82,mandelbrot_seq,1748012697.964686,1748012698.205532,240.845
83,mandelbrot_seq,1748012698.253667,1748012698.500060,246.394
84,mandelbrot_seq,1748012698.548606,1748012698.792927,244.321
85,mandelbrot_seq,1748012698.829644,1748012699.075885,246.241
86,mandelbrot_seq,1748012699.129690,1748012699.381221,251.532
87,mandelbrot_seq,1748012699.430723,1748012699.672051,241.328
88,mandelbrot_seq,1748012699.725647,1748012699.969061,243.414
89,mandelbrot_seq,1748012700.016703,1748012700.256896,240.193
90,mandelbrot_seq,1748012700.297652,1748012700.540650,242.998
91,mandelbrot_seq,1748012700.602687,1748012700.849339,246.652
92,mandelbrot_seq,1748012700.903654,1748012701.152374,248.721
93,mandelbrot_seq,1748012701.204668,1748012701.450971,246.304
94,mandelbrot_seq,1748012701.514667,1748012701.758957,244.290
95,mandelbrot_seq,1748012701.810657,1748012702.053890,243.233
96,mandelbrot_seq,1748012702.111658,1748012702.357709,246.051
97,mandelbrot_seq,1748012702.412650,1748012702.662586,249.937
98,mandelbrot_seq,1748012702.721635,1748012702.968547,246.912
99,mandelbrot_seq,1748012703.018791,1748012703.259534,240.744
100,mandelbrot_seq,1748012703.315655,1748012703.564035,248.380
101,mandelbrot_seq,1748012703.606665,1748012703.851773,245.109
102,mandelbrot_seq,1748012703.922650,1748012704.168345,245.695
103,mandelbrot_seq,1748012704.213621,1748012704.458962,245.341
104,mandelbrot_seq,1748012704.514638,1748012704.755024,240.386
105,mandelbrot_seq,1748012704.806645,1748012705.049849,243.205
106,mandelbrot_seq,1748012705.099637,1748012705.353273,253.636
107,mandelbrot_seq,1748012705.407649,1748012705.652196,244.548
108,mandelbrot_seq,1748012705.699632,1748012705.939157,239.526
109,mandelbrot_seq,1748012706.007665,1748012706.248912,241.248
110,mandelbrot_seq,1748012706.292641,1748012706.539443,246.803
111,mandelbrot_seq,1748012706.580651,1748012706.825864,245.213
112,mandelbrot_seq,1748012706.879655,1748012707.124992,245.338
113,mandelbrot_seq,1748012707.181658,1748012707.433219,251.561
114,mandelbrot_seq,1748012707.498655,1748012707.747790,249.136
115,mandelbrot_seq,1748012707.805652,1748012708.049769,244.117
116,mandelbrot_seq,1748012708.112622,1748012708.353143,240.521
117,mandelbrot_seq,1748012708.404649,1748012708.648572,243.922
118,mandelbrot_seq,1748012708.699654,1748012708.941870,242.216
119,mandelbrot_seq,1748012708.990653,1748012709.240435,249.783
120,mandelbrot_seq,1748012709.301622,1748012709.551781,250.160
121,mandelbrot_seq,1748012709.620614,1748012709.866178,245.565
122,mandelbrot_seq,1748012709.918661,1748012710.165827,247.166
123,mandelbrot_seq,1748012710.202692,1748012710.444701,242.010
124,mandelbrot_seq,1748012710.529665,1748012710.775941,246.277
125,mandelbrot_seq,1748012710.814633,1748012711.063062,248.430
126,mandelbrot_seq,1748012711.098645,1748012711.342388,243.743
127,mandelbrot_seq,1748012711.391685,1748012711.636438,244.754
128,mandelbrot_seq,1748012711.697680,1748012711.941649,243.969
129,mandelbrot_seq,1748012711.988666,1748012712.230212,241.548
130,mandelbrot_seq,1748012712.279650,1748012712.524840,245.190
131,mandelbrot_seq,1748012712.607660,1748012712.860956,253.297
132,mandelbrot_seq,1748012712.916649,1748012713.161276,244.628
133,mandelbrot_seq,1748012713.213670,1748012713.453950,240.280
134,mandelbrot_seq,1748012713.507674,1748012713.752182,244.509
135,mandelbrot_seq,1748012713.843668,1748012714.084867,241.200
136,mandelbrot_seq,1748012714.127606,1748012714.370941,243.335
137,mandelbrot_seq,1748012714.422625,1748012714.668725,246.100
138,mandelbrot_seq,1748012714.718635,1748012714.966008,247.374
139,mandelbrot_seq,1748012715.021649,1748012715.270342,248.693
140,mandelbrot_seq,1748012715.327649,1748012715.567867,240.218
141,mandelbrot_seq,1748012715.619603,1748012715.865062,245.459
142,mandelbrot_seq,1748012715.911645,1748012716.160108,248.462
143,mandelbrot_seq,1748012716.209652,1748012716.456911,247.259
144,mandelbrot_seq,1748012716.505688,1748012716.754199,248.511
145,mandelbrot_seq,1748012716.799650,1748012717.042908,243.258
146,mandelbrot_seq,1748012717.097644,1748012717.344910,247.266
147,mandelbrot_seq,1748012717.393689,1748012717.646974,253.286
148,mandelbrot_seq,1748012717.701647,1748012717.946530,244.883
149,mandelbrot_seq,1748012718.007652,1748012718.256433,248.781
150,mandelbrot_seq,1748012718.318645,1748012718.562948,244.304
151,mandelbrot_seq,1748012718.622625,1748012718.864922,242.298
152,mandelbrot_seq,1748012718.921651,1748012719.167115,245.464
153,mandelbrot_seq,1748012719.233629,1748012719.483411,249.782
154,mandelbrot_seq,1748012719.529664,1748012719.781103,251.440
155,mandelbrot_seq,1748012719.850627,1748012720.099485,248.858
156,mandelbrot_seq,1748012720.160656,1748012720.401084,240.429
157,mandelbrot_seq,1748012720.473667,1748012720.715986,242.320
158,mandelbrot_seq,1748012720.790639,1748012721.035170,244.532
159,mandelbrot_seq,1748012721.105658,1748012721.354230,248.572
160,mandelbrot_seq,1748012721.396647,1748012721.637901,241.255
161,mandelbrot_seq,1748012721.681665,1748012721.922749,241.084
162,mandelbrot_seq,1748012721.972654,1748012722.220138,247.484
163,mandelbrot_seq,1748012722.266646,1748012722.517695,251.049
164,mandelbrot_seq,1748012722.560646,1748012722.805802,245.156
165,mandelbrot_seq,1748012722.853679,1748012723.101742,248.063
166,mandelbrot_seq,1748012723.145618,1748012723.389852,244.233
167,mandelbrot_seq,1748012723.439616,1748012723.679240,239.624
168,mandelbrot_seq,1748012723.725636,1748012723.982054,256.420
169,mandelbrot_seq,1748012724.037632,1748012724.288121,250.490
170,mandelbrot_seq,1748012724.336692,1748012724.585411,248.720
171,mandelbrot_seq,1748012724.644651,1748012724.888978,244.328
172,mandelbrot_seq,1748012724.937658,1748012725.191789,254.132
173,mandelbrot_seq,1748012725.241641,1748012725.482959,241.319
174,mandelbrot_seq,1748012725.532667,1748012725.778044,245.377
175,mandelbrot_seq,1748012725.830661,1748012726.075463,244.803
176,mandelbrot_seq,1748012726.123647,1748012726.376774,253.128
177,mandelbrot_seq,1748012726.421641,1748012726.668019,246.378
178,mandelbrot_seq,1748012726.725687,1748012726.978211,252.525
179,mandelbrot_seq,1748012727.036714,1748012727.284921,248.208
180,mandelbrot_seq,1748012727.339672,1748012727.583480,243.808
181,mandelbrot_seq,1748012727.632604,1748012727.875806,243.202
182,mandelbrot_seq,1748012727.915658,1748012728.156346,240.688
183,mandelbrot_seq,1748012728.198618,1748012728.450864,252.246
184,mandelbrot_seq,1748012728.501554,1748012728.746206,244.652
185,mandelbrot_seq,1748012728.799644,1748012729.039794,240.151
186,mandelbrot_seq,1748012729.083652,1748012729.329997,246.346
187,mandelbrot_seq,1748012729.380636,1748012729.622200,241.564
188,mandelbrot_seq,1748012729.673763,1748012729.915639,241.876
189,mandelbrot_seq,1748012729.957622,1748012730.207133,249.511
190,mandelbrot_seq,1748012730.262668,1748012730.503355,240.688
191,mandelbrot_seq,1748012730.554643,1748012730.800399,245.757
