num_iteration,func_name,start_unix_timestamp,end_unix_timestamp,elapsed_ms
0,mandelbrot_seq,1748012673.290336,1748012673.379241,88.905
1,mandelbrot_seq,1748012673.613664,1748012673.707807,94.143
2,mandelbrot_seq,1748012673.912685,1748012674.007207,94.522
3,mandelbrot_seq,1748012674.215636,1748012674.317039,101.403
4,mandelbrot_seq,1748012674.544605,1748012674.637697,93.092
5,mandelbrot_seq,1748012674.862668,1748012674.952490,89.822
6,mandelbrot_seq,1748012675.156644,1748012675.249768,93.124
7,mandelbrot_seq,1748012675.458696,1748012675.554733,96.037
8,mandelbrot_seq,1748012675.756666,1748012675.858134,101.467
9,mandelbrot_seq,1748012676.059692,1748012676.149042,89.350
10,mandelbrot_seq,1748012676.352661,1748012676.442592,89.931
11,mandelbrot_seq,1748012676.668763,1748012676.761371,92.608
12,mandelbrot_seq,1748012676.963660,1748012677.056262,92.603
13,mandelbrot_seq,1748012677.266665,1748012677.357296,90.630
14,mandelbrot_seq,1748012677.567646,1748012677.657119,89.474
15,mandelbrot_seq,1748012677.861580,1748012677.954677,93.096
16,mandelbrot_seq,1748012678.165616,1748012678.258883,93.267
17,mandelbrot_seq,1748012678.456662,1748012678.550439,93.777
18,mandelbrot_seq,1748012678.749644,1748012678.846992,97.348
19,mandelbrot_seq,1748012679.077661,1748012679.166841,89.180
20,mandelbrot_seq,1748012679.366650,1748012679.455575,88.925
21,mandelbrot_seq,1748012679.659686,1748012679.752992,93.306
22,mandelbrot_seq,1748012679.953643,1748012680.056423,102.780
23,mandelbrot_seq,1748012680.269671,1748012680.358989,89.319
24,mandelbrot_seq,1748012680.572647,1748012680.664830,92.183
25,mandelbrot_seq,1748012680.864646,1748012680.959181,94.535
26,mandelbrot_seq,1748012681.173651,1748012681.269822,96.171
27,mandelbrot_seq,1748012681.470657,1748012681.560830,90.173
28,mandelbrot_seq,1748012681.752655,1748012681.841530,88.875
29,mandelbrot_seq,1748012682.044644,1748012682.138014,93.370
30,mandelbrot_seq,1748012682.335656,1748012682.425191,89.535
31,mandelbrot_seq,1748012682.638639,1748012682.735253,96.614
32,mandelbrot_seq,1748012682.935651,1748012683.029108,93.457
33,mandelbrot_seq,1748012683.225664,1748012683.319983,94.319
34,mandelbrot_seq,1748012683.519641,1748012683.614457,94.816
35,mandelbrot_seq,1748012683.827796,1748012683.918272,90.476
36,mandelbrot_seq,1748012684.123653,1748012684.216053,92.401
37,mandelbrot_seq,1748012684.431653,1748012684.530307,98.654
38,mandelbrot_seq,1748012684.736622,1748012684.834248,97.626
39,mandelbrot_seq,1748012685.047614,1748012685.135080,87.466
40,mandelbrot_seq,1748012685.332670,1748012685.421839,89.169
41,mandelbrot_seq,1748012685.650676,1748012685.747238,96.562
42,mandelbrot_seq,1748012685.953678,1748012686.047729,94.051
43,mandelbrot_seq,1748012686.244661,1748012686.335039,90.378
44,mandelbrot_seq,1748012686.548609,1748012686.647047,98.439
45,mandelbrot_seq,1748012686.852642,1748012686.953462,100.821
46,mandelbrot_seq,1748012687.171655,1748012687.262502,90.848
47,mandelbrot_seq,1748012687.491668,1748012687.589450,97.782
48,mandelbrot_seq,1748012687.810631,1748012687.912411,101.781
49,mandelbrot_seq,1748012688.135645,1748012688.224500,88.856
50,mandelbrot_seq,1748012688.436661,1748012688.535486,98.825
51,mandelbrot_seq,1748012688.744636,1748012688.842635,97.999
52,mandelbrot_seq,1748012689.071639,1748012689.161925,90.286
53,mandelbrot_seq,1748012689.354807,1748012689.442263,87.456
54,mandelbrot_seq,1748012689.633655,1748012689.721629,87.974
